Date,Top queries,Clicks,Impressions
2024-01-01,mybrand,14,129
2024-01-02,mybrand,13,108
2024-01-03,mybrand,14,168
2024-01-04,mybrand,21,198
2024-01-05,mybrand,12,112
2024-01-06,mybrand,22,225
2024-01-07,mybrand,21,255
2024-01-08,mybrand,26,341
2024-01-09,mybrand,20,268
2024-01-10,mybrand,17,219
2024-01-11,mybrand,38,540
2024-01-12,mybrand,31,370
2024-01-13,mybrand,28,379
2024-01-14,mybrand,31,281
2024-01-15,mybrand,30,325
2024-01-16,mybrand,21,284
2024-01-17,mybrand,8,79
2024-01-18,mybrand,19,227
2024-01-19,mybrand,23,265
2024-01-20,mybrand,12,141
2024-01-21,mybrand,20,266
2024-01-22,mybrand,8,70
2024-01-23,mybrand,14,166
2024-01-24,mybrand,17,136
2024-01-25,mybrand,17,242
2024-01-26,mybrand,25,306
2024-01-27,mybrand,21,211
2024-01-28,mybrand,29,254
2024-01-29,mybrand,14,141
2024-01-30,mybrand,11,145
2024-01-31,mybrand,14,153
2024-02-01,mybrand,11,98
2024-02-02,mybrand,14,172
2024-02-03,mybrand,13,177
2024-02-04,mybrand,18,250
2024-02-05,mybrand,18,248
2024-02-06,mybrand,36,295
2024-02-07,mybrand,29,386
2024-02-08,mybrand,25,357
2024-02-09,mybrand,27,221
2024-02-10,mybrand,21,308
2024-02-11,mybrand,16,230
2024-02-12,mybrand,14,182
2024-02-13,mybrand,12,105
2024-02-14,mybrand,16,137
2024-02-15,mybrand,18,173
2024-02-16,mybrand,16,224
2024-02-17,mybrand,12,139
2024-02-18,mybrand,12,145
2024-02-19,mybrand,12,136
2024-02-20,mybrand,27,394
2024-02-21,mybrand,24,274
2024-02-22,mybrand,29,327
2024-02-23,mybrand,15,121
2024-02-24,mybrand,14,184
2024-02-25,mybrand,18,171
2024-02-26,mybrand,19,188
2024-02-27,mybrand,13,152
2024-02-28,mybrand,12,154
2024-02-29,mybrand,14,207
